Energy train,Energy test,Accuracy,Model,Pretrained,Score,Defuzzification_Mode
536560.3481626462,279.6951521767712,0.3207,efficientnet_b0,False,26.367117490780014,bisector
536560.3481626462,279.6951521767712,0.3207,efficientnet_b0,False,25.0,mom
536560.3481626462,279.6951521767712,0.3207,efficientnet_b0,False,17.0,som
536560.3481626462,279.6951521767712,0.3207,efficientnet_b0,False,33.0,lom
297857.5581125567,174.93324415908992,0.01,squeezenet1_0,False,23.564379954592564,centroid
297857.5581125567,174.93324415908992,0.01,squeezenet1_0,False,23.28529709035558,bisector
297857.5581125567,174.93324415908992,0.01,squeezenet1_0,False,25.0,mom
297857.5581125567,174.93324415908992,0.01,squeezenet1_0,False,14.0,som
297857.5581125567,174.93324415908992,0.01,squeezenet1_0,False,36.0,lom
474379.7653801674,245.95984928722046,0.3534,shufflenet_v2_x0_5,False,31.2155364864213,centroid
474379.7653801674,245.95984928722046,0.3534,shufflenet_v2_x0_5,False,28.57513372198946,bisector
474379.7653801674,245.95984928722046,0.3534,shufflenet_v2_x0_5,False,25.0,mom
474379.7653801674,245.95984928722046,0.3534,shufflenet_v2_x0_5,False,18.0,som
474379.7653801674,245.95984928722046,0.3534,shufflenet_v2_x0_5,False,32.0,lom
451121.005054219,207.02222769725614,0.3462,shufflenet_v2_x0_5,False,31.986826902245532,centroid
451121.005054219,207.02222769725614,0.3462,shufflenet_v2_x0_5,False,29.319970880232322,bisector
451121.005054219,207.02222769725614,0.3462,shufflenet_v2_x0_5,False,25.0,mom
451121.005054219,207.02222769725614,0.3462,shufflenet_v2_x0_5,False,18.0,som
451121.005054219,207.02222769725614,0.3462,shufflenet_v2_x0_5,False,32.0,lom
296723.00979012024,210.91818801689126,0.01,squeezenet1_0,False,23.583871507996747,centroid
296723.00979012024,210.91818801689126,0.01,squeezenet1_0,False,23.310387951104463,bisector
296723.00979012024,210.91818801689126,0.01,squeezenet1_0,False,25.0,mom
296723.00979012024,210.91818801689126,0.01,squeezenet1_0,False,15.0,som
296723.00979012024,210.91818801689126,0.01,squeezenet1_0,False,35.0,lom
286526.5705059631,203.5718191390627,0.3923,resnet18,False,38.42359483534746,centroid
286526.5705059631,203.5718191390627,0.3923,resnet18,False,40.45055540737623,bisector
286526.5705059631,203.5718191390627,0.3923,resnet18,False,50.0,mom
286526.5705059631,203.5718191390627,0.3923,resnet18,False,40.0,som
286526.5705059631,203.5718191390627,0.3923,resnet18,False,60.0,lom
452200.59850490495,270.37036712840165,0.361,mobilenet_v2,False,32.0745948220397,centroid
452200.59850490495,270.37036712840165,0.361,mobilenet_v2,False,29.302707984787776,bisector
452200.59850490495,270.37036712840165,0.361,mobilenet_v2,False,25.0,mom
452200.59850490495,270.37036712840165,0.361,mobilenet_v2,False,18.0,som
452200.59850490495,270.37036712840165,0.361,mobilenet_v2,False,32.0,lom
595766.261583917,297.4198280505927,0.3193,efficientnet_b0,False,24.620491547987314,centroid
595766.261583917,297.4198280505927,0.3193,efficientnet_b0,False,24.28760462587512,bisector
595766.261583917,297.4198280505927,0.3193,efficientnet_b0,False,25.0,mom
595766.261583917,297.4198280505927,0.3193,efficientnet_b0,False,16.0,som
595766.261583917,297.4198280505927,0.3193,efficientnet_b0,False,34.0,lom
434389.19865785923,194.93337010707157,0.3294,mobilenet_v2,False,32.41137302083456,centroid
434389.19865785923,194.93337010707157,0.3294,mobilenet_v2,False,29.8988462704208,bisector
434389.19865785923,194.93337010707157,0.3294,mobilenet_v2,False,25.0,mom
434389.19865785923,194.93337010707157,0.3294,mobilenet_v2,False,17.0,som
434389.19865785923,194.93337010707157,0.3294,mobilenet_v2,False,33.0,lom
502920.29050180735,279.1659551963307,0.01,vgg16,False,17.53143860528518,centroid
502920.29050180735,279.1659551963307,0.01,vgg16,False,12.092560820340148,bisector
502920.29050180735,279.1659551963307,0.01,vgg16,False,2.0,mom
502920.29050180735,279.1659551963307,0.01,vgg16,False,0.0,som
